a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,fecha,monto,score
4,0.6154,254.38,50.0,0.3947368421052631,34.0,UY,23,cat_3e86c58,0.0909514773164126,510.0,506.0,1,,Y,2020-04-21 11:34:00,8.6,84
4,0.7934,1344396.88,30.0,0.0231408018618428,4.0,UY,6,cat_23212a0,0.4426066208202392,183.0,179.0,1,Y,Y,2020-04-21 11:36:28,171.09,67
4,0.8628,13832.48,42.0,0.0,6.0,BR,0,cat_3279476,0.517172999596756,954.0,253.0,1,,Y,2020-04-21 12:02:42,190.06,73
4,0.7833,162825.71,6.0,0.0768442622950819,401.0,UY,36,cat_b0c6415,0.4239992254276643,5140.0,127.0,1,,N,2020-04-21 12:09:19,44.16,3
4,0.7529,19297.12,0.0,0.4872340425531914,0.0,BR,6,cat_7fb5727,0.8555843726959935,0.0,0.0,0,,N,2020-04-21 12:12:52,9.07,91
2,0.7018,16981.72,50.0,0.0,1.0,BR,46,cat_8d3c904,0.2718063530930301,397.0,396.0,1,,Y,2020-04-21 12:12:54,27.01,86
4,0.8545,46799.9,30.0,0.0,31.0,BR,0,cat_4109cab,0.393777916420138,2150.0,197.0,1,,Y,2020-04-21 12:19:05,65.41,41
4,0.6864,137291.23,40.0,0.3227142857142857,0.0,US,1,cat_e600e6d,0.4032972273971395,257.0,252.0,1,,Y,2020-04-21 12:21:07,11.78,5
4,0.6682,3453.42,25.0,0.3211111111111111,24.0,BR,13,cat_ec87b39,0.580160090133443,5377.0,803.0,1,,Y,2020-04-21 14:30:01,17.37,24
4,0.8393,28445.92,6.0,0.20767306088407,1.0,BR,6,cat_67f7bf0,0.8366587718515319,1857.0,6.0,1,,N,2020-04-21 14:46:42,23.14,92
4,0.5409,9682.28,20.0,0.0,22.0,AR,10,cat_be79e88,0.64023351486086,1777.0,1319.0,1,Y,Y,2020-04-21 15:02:49,29.06,24
4,0.7832,2468.48,50.0,0.0,29.0,BR,5,cat_a11d605,0.2585586204083796,1059.0,538.0,1,Y,Y,2020-04-21 15:14:43,28.94,28
4,0.8144,5118565.84,1.0,0.0,34.0,BR,24,cat_fb277dd,0.4778826529223181,3596.0,0.0,1,,N,2020-04-21 15:16:46,86.64,67
4,0.8363,546704.76,1.0,0.281164695177434,4.0,BR,6,cat_0f8431a,0.701123209612536,5214.0,0.0,1,N,N,2020-04-21 15:21:06,21.21,47
4,0.2658,1925.05,2.0,0.0,3.0,BR,15,cat_8ef7164,0.9312609053003092,655.0,15.0,0,N,N,2020-04-21 16:00:42,28.81,75
4,0.8262,566449.52,50.0,1.119298245614035,1.0,BR,20,cat_b7febb2,0.1912223794642926,890.0,669.0,1,,Y,2020-04-21 16:36:00,5.5,87
4,0.7114,75696.47,12.0,0.242761692650334,12.0,BR,3,cat_c23c870,0.5739419286225454,2981.0,484.0,1,,Y,2020-04-21 16:49:22,8.66,52
4,0.562,19395.38,4.0,0.4674290484140233,23.0,AR,20,cat_9a58acf,0.3720874104119182,4733.0,72.0,1,,N,2020-04-21 16:54:05,9.15,45
4,0.6291,152676.92,50.0,0.1750033335555703,41.0,AR,28,cat_138a3a2,0.4709986621213033,3304.0,702.0,1,,Y,2020-04-21 17:35:07,18.32,54
4,0.6598,61205.61,50.0,0.0,18.0,AR,16,cat_d87d83f,0.6841298400777446,2759.0,408.0,1,,Y,2020-04-21 18:54:37,183.19,34
4,0.8159,119656.97,1.0,0.0,0.0,BR,14,cat_b7d70fa,0.3284198747669115,0.0,0.0,0,,N,2020-04-21 18:59:04,65.0,97
4,0.8911,736.2,2.0,0.0,0.0,BR,1,cat_846b079,0.41698253073206,6.0,6.0,0,,N,2020-04-21 19:02:48,57.66,88
4,0.6746,29881.07,1.0,0.0,-2.0,AR,20,cat_21ac14d,0.2320108192607861,3418.0,0.0,1,N,N,2020-04-21 19:46:10,39.69,32
1,0.8407,403839.55,50.0,0.0,60.0,BR,23,cat_1104aa0,0.0447943821673995,3242.0,414.0,1,,Y,2020-04-21 19:56:27,14.44,71
4,0.8181,280315.33,18.0,0.0,204.0,BR,1,cat_86ec3b3,0.2717695209143791,6132.0,209.0,1,N,Y,2020-04-21 20:00:44,107.87,63
4,0.7495,42829.96,50.0,0.0,13.0,BR,8,cat_960e53d,0.7998494238903823,1406.0,81.0,1,,N,2020-04-21 20:18:21,24.54,56
2,,,1.0,0.0,2.0,BR,0,cat_3b8427f,0.3478592714987414,843.0,0.0,0,N,N,2020-04-21 20:21:07,8.68,95
1,1.0,76777.55,23.0,0.0,0.0,BR,7,cat_89ea11f,0.512695072600696,189.0,187.0,0,N,N,2020-04-21 20:51:14,28.58,15
4,0.8329,98039.17,50.0,0.0,0.0,BR,8,cat_4aecf2c,0.8324344923134177,747.0,395.0,1,,Y,2020-04-21 21:34:17,86.64,75
4,0.8229,19510.35,4.0,0.2542857142857142,2.0,BR,10,cat_9a8fa4c,0.3372687493832735,1695.0,207.0,1,,Y,2020-04-21 22:43:17,6.75,39
2,0.4451,453.84,4.0,0.0,121.0,AR,0,cat_3203c7c,0.6930473724026917,2790.0,230.0,1,,N,2020-04-21 22:52:01,6.12,91
4,0.5905,157.36,9.0,0.2401862745098039,198.0,AR,0,cat_e600e6d,0.529415753307191,6370.0,599.0,1,,Y,2020-04-21 23:00:21,15.6,49
4,0.6509,24647.77,3.0,0.5008180300500834,14.0,AR,0,cat_e600e6d,0.8525086753720856,4532.0,749.0,1,,Y,2020-04-21 23:11:12,9.16,83
